model_name,n_neighbors,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
BERTopic,15,0.84,0.13766915737507684,-2.489495193708652,1
BERTopic,15,0.8466666666666667,0.1556258611922893,-2.6035184881717877,2
BERTopic,15,0.8533333333333334,0.1799286275457074,-2.0291954671617156,3
BERTopic,20,0.7866666666666666,0.13460643153538324,-2.627465086566177,1
BERTopic,20,0.8,0.15246079802315585,-2.3846547754573706,2
BERTopic,20,0.76,0.14519337249660644,-2.33460497134904,3
BERTopic,35,0.7933333333333333,0.12957538764791712,-2.497196282558877,1
BERTopic,35,0.7733333333333333,0.15699297784635957,-2.0856215742513573,2
BERTopic,35,0.7933333333333333,0.1361830142881231,-2.7576907708608642,3
BERTopic,50,0.8266666666666667,0.1282753085388089,-2.454039193201976,1
BERTopic,50,0.8466666666666667,0.1406870014407468,-2.2267673643204033,2
BERTopic,50,0.8666666666666667,0.1550506505441026,-2.3602036107868742,3
BERTopic,80,0.88,0.15931229384208734,-2.5281166402337036,1
BERTopic,80,0.82,0.1443846563493882,-2.4715543756352516,2
BERTopic,80,0.88,0.16248328373330417,-2.159714510150475,3
BERTopic,100,0.8866666666666667,0.14537661091772766,-2.391119442760426,1
BERTopic,100,0.8266666666666667,0.14777699982636874,-2.4704696383674065,2
BERTopic,100,0.8466666666666667,0.1534979832160316,-2.1303703843925104,3
BERTopic,200,0.8666666666666667,0.14836071574992002,-2.2281554910182972,1
BERTopic,200,0.8133333333333334,0.1460778022968473,-2.221011678464767,2
BERTopic,200,0.8466666666666667,0.16704141343202678,-2.1824541267530964,3
BERTopic,500,1.0,-0.07371039987963178,-4.689898581175515,1
BERTopic,500,1.0,-0.07371039987963178,-4.689898581175515,2
BERTopic,500,1.0,-0.07371039987963178,-4.689898581175515,3
