model_name,num_topics,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
NMF,5,0.856,0.07505032070510094,-1.3547469635721274,1
LDA,5,0.8,0.05803669087115861,-1.2418018251222542,1
BERTopic,5,0.832,0.09976593479246293,-1.8528943690853228,1
NMF,5,0.832,0.07623253314646014,-1.4266377253432316,2
LDA,5,0.848,0.05493288780027682,-1.3947373056094703,2
BERTopic,5,0.704,0.13673863982210657,-1.5880267425662915,2
NMF,5,0.816,0.07855269888815788,-1.3886614951207332,3
LDA,5,0.832,0.07855948856432836,-1.3410192139489843,3
BERTopic,5,0.816,0.08435851350487782,-2.5598802791718027,3
NMF,8,0.75,0.08588025511573313,-1.5698996326455679,1
LDA,8,0.835,0.08113519866742847,-1.3992229851473887,1
BERTopic,8,0.83,0.14831915964874764,-1.8457998753089848,1
NMF,8,0.8,0.10346851410373283,-1.5439663214199788,2
LDA,8,0.83,0.0766808888133953,-1.507984061910699,2
BERTopic,8,0.72,0.1365486896989996,-2.146425858450649,2
NMF,8,0.775,0.08047695514309164,-1.5309649901562383,3
LDA,8,0.83,0.08790213376883221,-1.4555979705490936,3
BERTopic,8,0.795,0.08189404682267422,-3.3257823670547206,3
NMF,10,0.74,0.10156744557460609,-1.5443158702978812,1
LDA,10,0.796,0.09065242863509,-1.5889799915814826,1
BERTopic,10,0.808,0.15154509461944432,-1.895002769403164,1
NMF,10,0.756,0.10047930983878664,-1.6422046752531116,2
LDA,10,0.816,0.08143870149762064,-1.586980395936696,2
BERTopic,10,0.752,0.15177552535309882,-2.1656197023282635,2
NMF,10,0.76,0.1110497858181261,-1.69408921077638,3
LDA,10,0.796,0.09179419136843955,-1.591578392590978,3
BERTopic,10,0.804,0.1157670641660257,-2.994033406678944,3
NMF,15,0.728,0.14208846542518405,-1.7050099367385265,1
LDA,15,0.7573333333333333,0.08530414331924338,-1.62691357308636,1
BERTopic,15,0.784,0.16065401703875876,-2.2052635847411155,1
NMF,15,0.7146666666666667,0.11326141898251607,-1.6591506634892554,2
LDA,15,0.8053333333333333,0.11981072702577572,-1.670606924238406,2
BERTopic,15,0.7786666666666666,0.16034276912075437,-2.258609704666534,2
NMF,15,0.6986666666666667,0.10636153519695858,-1.5516697308546414,3
LDA,15,0.8026666666666666,0.07748438435340003,-1.8220899388559386,3
BERTopic,15,0.7466666666666667,0.14688508035747666,-2.4748618532453315,3
NMF,20,0.678,0.11792446152897602,-1.6923679570934027,1
LDA,20,0.774,0.11680688252044606,-1.8032066833102758,1
BERTopic,20,0.764,0.18808986179534307,-2.097174251942099,1
NMF,20,0.694,0.13454632532757954,-1.6777741501043733,2
LDA,20,0.796,0.11991674454678651,-1.792668534300169,2
BERTopic,20,0.754,0.18502197015999344,-2.2938050951104527,2
NMF,20,0.668,0.12841460789647866,-1.6881060315172696,3
LDA,20,0.81,0.10390986586506264,-1.8123801834069222,3
BERTopic,20,0.764,0.16836793973433084,-2.4409617788470763,3
NMF,25,0.664,0.14559643559641966,-1.7399136808765692,1
LDA,25,0.7728,0.12258471309708811,-1.788764251073664,1
BERTopic,25,0.7216,0.1924302199612646,-2.1593093186061902,1
NMF,25,0.6224,0.1308064766084401,-1.790102348457745,2
LDA,25,0.7952,0.1130764216334441,-2.0168074557252336,2
BERTopic,25,0.7488,0.19514620986287645,-2.3520938916541603,2
NMF,25,0.656,0.13927924201245884,-1.8255880221941403,3
LDA,25,0.7776,0.1248395770476007,-1.7438379523197014,3
BERTopic,25,0.7424,0.1870288982028495,-2.2616719696672396,3
NMF,30,0.6333333333333333,0.12342539500094275,-1.8679176554717698,1
LDA,30,0.7453333333333333,0.10894076628555986,-1.9913870020038844,1
BERTopic,30,0.72,0.20402820441836492,-2.030804817434679,1
NMF,30,0.64,0.14672048057795284,-1.7508901528808742,2
LDA,30,0.7493333333333333,0.11211837324531612,-1.8832665599596203,2
BERTopic,30,0.7186666666666667,0.20073215475698447,-2.2405002742582076,2
NMF,30,0.6293333333333333,0.14237646016497024,-1.7849646486884752,3
LDA,30,0.752,0.10804610909704666,-2.0194493313633455,3
BERTopic,30,0.736,0.18606209365961396,-2.390356977912315,3
