model_name,num_topics,topic_diversity,topic_coherence,seed
NMF,5,0.784,0.07116375923920243,1
NMF,8,0.78,0.08862000621985444,1
NMF,10,0.756,0.08890919066410277,1
NMF,15,0.6746666666666666,0.10442570493478151,1
NMF,20,0.676,0.10821392357863939,1
NMF,30,0.6226666666666667,0.08902429614390554,1
NMF,40,0.595,0.09272010891137532,1
NMF,50,0.5824,0.09233894609574939,1
NMF,100,0.4852,0.09664232790411986,1
NMF,5,0.832,0.06999843744966787,2
NMF,8,0.76,0.08635302157133379,2
NMF,10,0.716,0.07587222968425167,2
NMF,15,0.7066666666666667,0.10986774154234781,2
NMF,20,0.64,0.09912677520546626,2
NMF,30,0.6253333333333333,0.10611897377750654,2
NMF,40,0.598,0.11700643426859048,2
NMF,50,0.5592,0.10353390130592516,2
NMF,100,0.4944,0.10041610833744695,2
NMF,5,0.84,0.09644374821838433,3
NMF,8,0.74,0.07574905044248509,3
NMF,10,0.768,0.09588068069395705,3
NMF,15,0.6773333333333333,0.10919058399608186,3
NMF,20,0.636,0.08350846112654572,3
NMF,30,0.64,0.11701008907814575,3
NMF,40,0.612,0.1161076348047921,3
NMF,50,0.5808,0.10829390574530956,3
NMF,100,0.5028,0.1094436331752682,3
