model_name,num_documents,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
top2vec,5000,0.9733333333333334,0.1427525265837982,-2.48035985756484,1
NMF,5000,0.8533333333333334,0.10154529091254112,-2.0844522509841954,1
LDA,5000,0.8333333333333334,0.08071791709982917,-1.6310761889953909,1
BERTopic,5000,0.82,0.11521625171183668,-2.6577518962810553,1
top2vec,5000,0.9733333333333334,0.13629238107206273,-2.707576511836467,2
NMF,5000,0.8,0.10417465173986154,-1.6971997113162174,2
LDA,5000,0.8466666666666667,0.11416720791424623,-1.6686802626061736,2
BERTopic,5000,0.7733333333333333,0.10942576647557334,-2.526661636746601,2
top2vec,5000,0.9866666666666667,0.11426867135617684,-2.9793028493163827,3
NMF,5000,0.7733333333333333,0.08893854540560468,-1.579501490830253,3
LDA,5000,0.86,0.06227688305690011,-2.4560772695562023,3
BERTopic,5000,0.7866666666666666,0.11666330836380155,-2.494518660219309,3
top2vec,10000,0.9866666666666667,0.16611597840620465,-2.229985178088239,1
NMF,10000,0.8533333333333334,0.11163233123836935,-1.9242445684105671,1
LDA,10000,0.8333333333333334,0.08242591288940317,-1.6278451098220024,1
BERTopic,10000,0.8333333333333334,0.15258967487632522,-2.5378034694926996,1
top2vec,10000,0.9866666666666667,0.12351467288219228,-3.3990336577337734,2
NMF,10000,0.8,0.11065237955092361,-1.6666800806899897,2
LDA,10000,0.8466666666666667,0.1177078587269229,-1.6755078604589047,2
BERTopic,10000,0.84,0.14092441744749712,-2.668209569624829,2
top2vec,10000,0.9866666666666667,0.14486036807574704,-2.849386224605278,3
NMF,10000,0.7733333333333333,0.0938942079837501,-1.5679390249668643,3
LDA,10000,0.86,0.06840693794793865,-2.2150158541147653,3
BERTopic,10000,0.88,0.17099059592161667,-2.333094434778497,3
top2vec,20000,0.9933333333333333,0.15799659451780232,-2.6137699501562413,1
NMF,20000,0.8533333333333334,0.12108007962009742,-1.8547023908392652,1
LDA,20000,0.8333333333333334,0.08413271925228613,-1.6286377569489934,1
BERTopic,20000,0.84,0.15645061503329907,-1.9329393092785976,1
top2vec,20000,1.0,0.15477248393753534,-2.9800080799492705,2
NMF,20000,0.8,0.1143231964765389,-1.659820799569867,2
LDA,20000,0.8466666666666667,0.11970294074241843,-1.6740241554280653,2
BERTopic,20000,0.86,0.1424075228885312,-2.1655265179870975,2
top2vec,20000,1.0,0.11479074108079164,-3.6564349188402514,3
NMF,20000,0.7733333333333333,0.10356680587176964,-1.5578545262655108,3
LDA,20000,0.86,0.0742147703838333,-1.9588746299088464,3
BERTopic,20000,0.8333333333333334,0.1443475251088967,-2.287476716465656,3
top2vec,35000,1.0,0.1272195203146475,-3.801459181099213,1
NMF,35000,0.8533333333333334,0.1425064969181529,-1.7069785101510542,1
LDA,35000,0.8333333333333334,0.08503263628760663,-1.6243022365843585,1
BERTopic,35000,0.8133333333333334,0.14740705832832982,-2.2500586837606864,1
top2vec,35000,0.9933333333333333,0.12726503319019902,-4.198236255355939,2
NMF,35000,0.8,0.1132478301179735,-1.655760158048207,2
LDA,35000,0.8466666666666667,0.11990413284522679,-1.672028072946147,2
BERTopic,35000,0.8,0.13909779311006906,-2.300636063803364,2
top2vec,35000,1.0,0.16533991888685762,-3.3910473914429438,3
NMF,35000,0.7733333333333333,0.1067945723287628,-1.5505176559470466,3
LDA,35000,0.86,0.07727977363288989,-1.8390352148989755,3
BERTopic,35000,0.82,0.14081371357334843,-2.178723827247729,3
top2vec,50000,1.0,0.11585692550031387,-3.752195260555855,1
NMF,50000,0.8533333333333334,0.14208846542518405,-1.7050099367385265,1
LDA,50000,0.8333333333333334,0.08530414331924338,-1.62691357308636,1
BERTopic,50000,0.86,0.16107814568426296,-2.194747815676813,1
top2vec,50000,1.0,0.1309444453235837,-4.027373462946356,2
NMF,50000,0.8,0.11326141898251607,-1.6591506634892554,2
LDA,50000,0.8466666666666667,0.11981072702577572,-1.670606924238406,2
BERTopic,50000,0.86,0.17684159296014065,-2.062099917515014,2
top2vec,50000,1.0,0.14162159269772578,-3.7616895816964946,3
NMF,50000,0.7733333333333333,0.10636153519695858,-1.5516697308546414,3
LDA,50000,0.86,0.07748438435340003,-1.8220899388559386,3
BERTopic,50000,0.88,0.1856818723647704,-2.248643127948697,3
