model_name,top_n_words,topic_diversity,topic_coherence_npmi,topic_coherence_umass,seed
BERTopic,5,0.9333333333333333,0.06843699777716686,-6.710684483793417,1
BERTopic,5,0.9066666666666666,0.037927234941842934,-7.92943862661174,2
BERTopic,5,0.9333333333333333,0.034374003109038286,-7.983076138581003,3
BERTopic,8,0.875,0.05510750322379251,-6.480930085925589,1
BERTopic,8,0.85,-0.0034910762103116176,-7.922952008294201,2
BERTopic,8,0.8916666666666667,-0.014890804714718134,-8.41429772432423,3
BERTopic,10,0.86,0.016346416846992073,-7.050381013282617,1
BERTopic,10,0.86,0.001455331642219587,-7.832913519660783,2
BERTopic,10,0.8666666666666667,-0.028223010017968373,-8.445801566826102,3
BERTopic,12,0.8666666666666667,-0.01205302320165333,-7.743091481906942,1
BERTopic,12,0.8555555555555555,-0.028437135478397723,-8.32048519231956,2
BERTopic,12,0.8611111111111112,-0.049505887523992244,-8.780472659330469,3
BERTopic,15,0.8311111111111111,-0.03209529346773274,-8.01746298047012,1
BERTopic,15,0.8355555555555556,-0.05829639345211398,-9.066464644109544,2
BERTopic,15,0.84,-0.06041416783172341,-8.825838021978841,3
BERTopic,20,0.7866666666666666,-0.06307120433899539,-8.517598501431484,1
BERTopic,20,0.7966666666666666,-0.079591042355643,-9.028792133703066,2
BERTopic,20,0.79,-0.08778887519617289,-9.13732586055691,3
BERTopic,25,0.76,-0.08877072934821029,-9.079813904854783,1
BERTopic,25,0.752,-0.10478517567832725,-9.484039362813602,2
BERTopic,25,0.7706666666666667,-0.1136048559419532,-9.864331008532783,3
BERTopic,30,0.7333333333333333,-0.106533839859627,-9.348408204757096,1
BERTopic,30,0.7422222222222222,-0.1221442154930677,-9.855598970235137,2
BERTopic,30,0.7511111111111111,-0.13294066829848106,-10.201120086289116,3
